FID,Latitude,Longitude,NAME,SUBSET,FEAT_TYPE,WATER,STATUS,Timemin
144,48.0112513,-121.96797099999999, , , , , ,62.0
145,48.0112513,-121.957971, , , , , ,55.0
146,48.0112513,-121.947971, , , , , ,59.0
147,48.0012513,-122.54797099999999, , , , , ,136.0
148,48.0012513,-122.537971, , , , , ,135.0
149,48.0012513,-122.527971, , , , , ,135.0
150,48.0012513,-122.517971, , , , , ,139.0
151,48.0012513,-122.507971, , , , , ,136.0
152,48.0012513,-122.49797099999999, , , , , ,137.0
153,48.0012513,-122.487971, , , , , ,138.0
154,48.0012513,-122.477971, , , , , ,139.0
155,48.0012513,-122.46797099999999, , , , , ,142.0
156,48.0012513,-122.457971, , , , , ,138.0
157,48.0012513,-122.447971, , , , , ,139.0
158,48.0012513,-122.43797099999999, , , , , ,139.0
159,48.0012513,-122.427971, , , , , ,141.0
160,48.0012513,-122.417971, , , , , ,140.0
161,48.0012513,-122.40797099999999, , , , , ,141.0
162,48.0012513,-122.397971, , , , , ,143.0
163,48.0012513,-122.387971, , , , , ,143.0
164,48.0012513,-122.377971, , , , , ,145.0
165,48.0012513,-122.21797099999999, , , , , ,34.0
166,48.0012513,-122.207971, , , , , ,33.0
167,48.0012513,-122.197971, , , , , ,33.0
168,48.0012513,-122.18797099999999, , , , , ,32.0
169,48.0012513,-122.15797099999999, , , , , ,50.0
170,48.0012513,-122.147971, , , , , ,37.0
171,48.0012513,-122.127971, , , , , ,36.0
172,48.0012513,-122.117971, , , , , ,35.0
173,48.0012513,-122.10797099999999, , , , , ,0.0
174,48.0012513,-122.097971, , , , , ,38.0
175,48.0012513,-122.067971, , , , , ,41.0
176,48.0012513,-122.057971, , , , , ,43.0
177,48.0012513,-122.04797099999999, , , , , ,45.0
178,48.0012513,-122.037971, , , , , ,43.0
179,48.0012513,-122.027971, , , , , ,45.0
180,48.0012513,-122.017971, , , , , ,47.0
181,48.0012513,-122.007971, , , , , ,47.0
182,48.0012513,-121.99797099999999, , , , , ,47.0
183,48.0012513,-121.987971, , , , , ,51.0
184,48.0012513,-121.977971, , , , , ,56.0
185,48.0012513,-121.96797099999999, , , , , ,55.0
186,48.0012513,-121.957971, , , , , ,54.0
187,48.0012513,-121.947971, , , , , ,68.0
188,47.991251299999995,-122.537971, , , , , ,137.0
189,47.991251299999995,-122.527971, , , , , ,137.0
190,47.991251299999995,-122.517971, , , , , ,138.0
191,47.991251299999995,-122.507971, , , , , ,137.0
192,47.991251299999995,-122.49797099999999, , , , , ,141.0
193,47.991251299999995,-122.477971, , , , , ,143.0
194,47.991251299999995,-122.46797099999999, , , , , ,140.0
195,47.991251299999995,-122.457971, , , , , ,140.0
196,47.991251299999995,-122.447971, , , , , ,144.0
197,47.991251299999995,-122.43797099999999, , , , , ,142.0
198,47.991251299999995,-122.427971, , , , , ,143.0
199,47.991251299999995,-122.417971, , , , , ,142.0
200,47.991251299999995,-122.40797099999999, , , , , ,143.0
201,47.991251299999995,-122.397971, , , , , ,142.0
202,47.991251299999995,-122.387971, , , , , ,145.0
203,47.991251299999995,-122.377971, , , , , ,145.0
